,臺北市,高雄市,臺北縣,宜蘭縣,桃園縣,新竹縣,苗栗縣,臺中縣,彰化縣,南投縣,雲林縣,嘉義縣,臺南縣,高雄縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,金門縣,連江縣
96年5月,2627232,1515682,3776501,460161,1919487,490714,559818,1545524,1314225,534186,726986,552273,1105779,1244090,891058,234939,344336,92059,390380,396739,1049056,272471,762090,78707,9790
96年6月,2627990,1516115,3779219,460133,1921526,491405,559776,1546114,1313986,533903,726868,551993,1105515,1244282,890753,234672,344087,92077,390299,396983,1050160,272718,762486,79023,9814
96年7月,2628330,1517320,3782184,460211,1923945,492309,559850,1546890,1314018,533899,726577,551880,1105247,1244060,890573,234455,343934,92142,390229,396982,1051090,272811,763059,79445,9852
96年8月,2627253,1517889,3785828,460312,1926895,493406,559888,1548034,1313922,533782,726314,551734,1105152,1244206,890227,234124,343687,92163,390185,397273,1052108,272797,763343,79865,9863
96年9月,2625359,1518568,3789488,460193,1928968,494225,559802,1548435,1313709,533494,725949,551498,1105079,1243944,889806,233954,343610,92157,390188,397577,1052946,272804,763489,80191,9878
96年10月,2626104,1518970,3792402,460218,1930818,494780,559956,1548976,1313798,533731,725930,551409,1105061,1244129,889793,233841,343574,92174,390310,398032,1053828,272851,763756,80636,9920
96年11月,2627527,1519711,3794929,460358,1932908,495351,560050,1549852,1314013,533709,725759,551363,1105249,1244077,889698,233725,343461,92239,390339,398539,1054842,272899,764147,81101,9936
96年12月,2629269,1520555,3798015,460398,1934968,495821,560163,1550896,1314354,533717,725672,551345,1105403,1244313,889563,233660,343302,92390,390397,399035,1055898,273075,764658,81547,9946
97年1月,2629689,1520926,3800575,460319,1937045,496422,560197,1551722,1314311,533607,725376,551154,1105348,1244354,889319,233609,343262,92423,390216,399599,1056993,273137,764999,81903,9954
97年2月,2630966,1521445,3802970,460584,1938591,496780,560159,1552215,1314453,533501,725427,550759,1105117,1244282,888905,233491,343142,92384,390084,399957,1057781,273285,765327,82063,9954
97年3月,2631605,1521757,3804969,460656,1940014,497245,560142,1552511,1314253,533320,725378,550344,1105000,1244027,888504,233310,343026,92363,389915,400430,1058529,273422,765779,82323,9978
97年4月,2630966,1522343,3806380,460992,1941878,497975,559920,1552711,1313669,533170,725491,549828,1104906,1243463,887914,233176,342898,92415,389730,401108,1059821,273486,766292,82768,9986
97年5月,2630515,1522656,3808875,460918,1943756,498777,559861,1552886,1313264,532883,725468,549454,1104691,1243192,887275,232891,342700,92458,389600,401825,1061065,273675,766707,83078,9958
97年6月,2630191,1523317,3811043,461082,1945581,499372,559851,1553446,1313003,532762,725237,549265,1104491,1243026,886786,232663,342516,92602,389443,402368,1062244,273789,767018,83225,9941
97年7月,2628699,1523649,3814784,461126,1948004,500025,559914,1554266,1312737,532615,724994,549002,1104386,1243000,886514,232452,342400,92769,389213,402695,1062937,273967,767466,83329,9884
97年8月,2626114,1523889,3818201,461268,1950129,500595,559904,1554993,1312642,532422,724638,548754,1104437,1242866,886193,232258,342003,92907,389134,403272,1063429,274074,767593,83497,9855
97年9月,2622933,1523874,3821823,461094,1952321,501312,559959,1555418,1312427,532074,724334,548652,1104258,1242864,885640,232107,341843,92984,389087,403638,1063800,274032,767812,83619,9832
97年10月,2622539,1524341,3825164,461010,1954237,502012,560167,1556176,1312611,532034,724311,548603,1104488,1243017,885443,232063,341792,93104,388976,404109,1064440,274086,767968,83735,9831
97年11月,2622125,1524996,3829368,461043,1956516,502625,560397,1557301,1312948,532059,724238,548612,1104654,1243347,885316,232055,341709,93181,389035,404723,1065093,274064,768352,84108,9807
97年12月,2622923,1525642,3833730,460902,1958686,503273,560397,1557944,1312935,531753,723674,548731,1104552,1243412,884838,231849,341433,93308,388979,405371,1066128,273793,768453,84570,9755
98年1月,2622090,1525996,3837077,461013,1960336,503655,560616,1558611,1313143,531810,723700,548801,1104810,1243870,884852,231863,341504,93446,389067,405931,1066843,273813,768739,84841,9750
98年2月,2620273,1526128,3840405,460742,1961825,504169,560548,1558862,1312975,531733,723449,548352,1104335,1243665,884484,231794,341263,93701,388787,406471,1067366,273866,768891,85555,9768
98年3月,2619920,1526594,3843790,460908,1963546,504768,560644,1559454,1312981,531630,723274,548039,1104289,1243456,884067,231893,341222,93973,388764,407319,1068537,274068,769389,86264,9761
98年4月,2618476,1526208,3845345,460899,1964197,505182,560646,1559174,1312433,531514,722971,547702,1104009,1243306,883662,231953,341046,94259,388697,407760,1068951,274212,769510,87456,9771
98年5月,2617566,1526320,3847554,460837,1965313,505855,560631,1559198,1312239,531244,723038,547594,1104038,1242867,883384,231930,341032,94576,388693,408047,1069354,274088,769716,88134,9779
98年6月,2616520,1526420,3849492,461461,1967038,506546,560581,1559178,1312165,531307,723065,547550,1103789,1242652,883075,232071,340903,94886,388703,408466,1070145,274171,769892,89471,9798
98年7月,2615285,1526921,3853180,461268,1968574,507329,560794,1559433,1312031,531177,723111,547642,1103761,1242493,882921,232277,340947,95156,388684,408869,1070657,274127,770162,90531,9861
98年8月,2612605,1526840,3857840,461251,1970358,508157,560975,1559703,1311761,530941,722858,547525,1103909,1241902,882601,232290,341001,95292,388624,409365,1070792,274051,770363,91261,9860
98年9月,2608596,1526797,3862640,461203,1972635,508883,561097,1560064,1311529,530755,722607,547185,1104068,1241920,882511,232235,340875,95445,388476,409911,1071117,273876,770244,91890,9882
98年10月,2608186,1527142,3866378,461345,1974758,509453,561315,1560637,1311971,530769,722831,547267,1104320,1242328,882575,232290,340910,95751,388542,410399,1071946,273861,770583,92602,9890
98年11月,2607879,1527439,3869879,461499,1976897,510058,561549,1561342,1312373,530891,722777,547457,1104316,1242766,882796,232382,340949,95942,388496,410950,1072738,273930,770830,93107,9899
98年12月,2607428,1527914,3873653,461625,1978782,510882,561744,1562126,1312467,530824,722795,547716,1104346,1242973,882640,232497,340964,96210,388321,411587,1073635,273861,771060,93803,9919
99年1月,2606151,1528206,3876070,461876,1980038,511288,561946,1562197,1312491,530875,722688,547709,1104009,1242783,882339,232821,341026,96387,388136,411981,1074277,273778,771235,94205,10002
99年2月,2605063,1528261,3878282,461901,1981364,511608,561946,1562335,1312355,530705,722615,547628,1103642,1242834,882191,232913,340997,96426,388017,412233,1074897,273691,771423,94474,10044
99年3月,2604744,1528306,3882039,461783,1982961,511852,561622,1562657,1311701,530198,721784,546901,1103517,1242985,881385,232688,340794,96459,387624,412850,1076161,273717,771648,94701,10016
99年4月,2603651,1528430,3884754,461592,1985209,512147,561392,1562780,1311188,529767,721121,546386,1103276,1243050,880550,232491,340705,96455,387207,413317,1077182,273639,771864,94911,10010
99年5月,2604150,1528386,3885507,461409,1990917,511855,561319,1562567,1310398,529321,720469,545878,1102889,1243279,879746,232226,340423,96467,386757,413384,1077996,273444,771905,95038,9985
99年6月,2602868,1528127,3880743,460604,2017047,509802,559921,1561882,1308926,528283,718671,544782,1102059,1242555,878062,231737,339671,96388,385869,412893,1078023,272882,771512,95145,9929
99年7月,2605357,1529049,3889049,460676,2006213,510874,560214,1563334,1308676,527940,718231,544374,1102268,1243300,877109,231421,339659,96436,385532,413482,1079343,272833,771755,95409,9926
99年8月,2605309,1529415,3892616,460719,2003205,511644,560561,1564130,1308326,527774,718196,544236,1102096,1243453,876181,231140,339546,96490,385388,414004,1080140,272782,771937,95783,9949
99年9月,2608923,1529445,3892603,460679,2002318,512097,560557,1564577,1307843,527299,718054,543853,1101866,1243332,875379,230941,339295,96488,384954,414323,1080617,272711,771888,96091,9957
