年月,臺北市,新北市,臺中市,臺南市,高雄市,宜蘭縣,桃園市,新竹市,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,金門縣,連江縣
94年1月,2621942,3710999,2549910,1860885,2751905,462165,1855317.0,387148,467874,560538,1316795,538301,736348,270554,557736,900023,240291,348970,91864,392385,64907,9492
94年2月,2621441,3713288,2551063,1861065,2752015,462048,1857194.0,387567,468340,560395,1316767,538275,736086,270665,557605,899809,240082,348729,91903,392435,65282,9573
94年3月,2619022,3714873,2552429,1861011,2751879,461978,1859220.0,387861,469217,560070,1316453,538245,735511,270693,557346,899460,239870,348539,91871,392250,65843,9654
94年4月,2618706,3716957,2553633,1861092,2752243,461879,1861115.0,388158,470108,559902,1316214,538080,735062,270900,556973,898980,239706,348355,91894,392218,66328,9777
94年5月,2617694,3720121,2555356,1861452,2751865,461745,1863483.0,388515,471219,559657,1315900,537688,734960,271446,556568,898705,239574,348208,92012,392303,66690,9869
94年6月,2617386,3722490,2557299,1861669,2751702,461695,1865923.0,388887,472206,559509,1315471,537554,734584,271609,556999,898480,239432,348078,92104,392365,67120,9997
94年7月,2616793,3725057,2558575,1861735,2751990,461672,1868572.0,389150,473220,559528,1315315,537448,734491,271833,556745,898748,239322,347907,92274,392359,67721,10364
94年8月,2619117,3726039,2559942,1861801,2751965,461505,1871474.0,389488,474265,559558,1315020,537345,734052,271949,556365,898611,239184,347641,92362,392084,68265,10527
94年9月,2617034,3728954,2561544,1862025,2752147,461467,1873903.0,390205,475032,559649,1314984,537265,733739,271925,556285,898466,238979,347475,92388,392012,68808,10553
94年10月,2616596,3730954,2562901,1862318,2752732,461500,1876044.0,390353,475798,559852,1315309,537228,733553,271989,556434,898435,238974,347348,92405,392014,69287,10523
94年11月,2615308,3734335,2564635,1862678,2753252,461563,1878505.0,390385,476662,559890,1315691,537270,733457,272062,556518,898446,238858,347290,92426,392099,69661,10473
94年12月,2616375,3736677,2566220,1862918,2753486,461586,1880316.0,390692,477677,559944,1315826,537168,733330,271701,557101,898300,238943,347298,92489,391727,70264,10345
95年1月,2616473,3738424,2567593,1863256,2753427,461511,1882666.0,390973,478399,560163,1315936,537345,733511,271590,557636,898329,238945,347407,92580,391553,70646,10218
95年2月,2616645,3740684,2568542,1863445,2753405,461397,1884424.0,391348,479218,560132,1315897,537409,733096,271666,557551,898204,238922,347391,92538,391462,71181,10163
95年3月,2618058,3742337,2570184,1863575,2753783,461116,1886533.0,391638,479997,559938,1315776,537153,732792,271865,557120,897724,238685,347209,92429,391319,71710,10111
95年4月,2619384,3743553,2571616,1863735,2754405,461013,1888518.0,391965,480662,559796,1315688,536979,732552,271957,556754,897308,238517,347133,92300,391215,72198,10066
95年5月,2620693,3746073,2573396,1864104,2754942,460892,1891258.0,392245,481409,559888,1315559,536653,732112,272181,556333,896778,238252,346935,92275,391051,72600,10018
95年6月,2623783,3748141,2575709,1864272,2755588,460855,1894010.0,392639,482223,559642,1315130,536190,731596,272242,555647,896213,237797,346684,92201,390996,73103,9975
95年7月,2625757,3750504,2577600,1864636,2756408,460809,1896739.0,392940,483138,559562,1314858,536002,730986,272306,555131,895744,237522,346330,92116,390951,73635,9930
95年8月,2626291,3753797,2579543,1864854,2756854,460680,1899853.0,393291,484223,559690,1314821,535833,730294,272314,554607,895018,237123,345966,92006,390911,74278,9926
95年9月,2625441,3756392,2581300,1865248,2757343,460599,1902821.0,393557,485146,559661,1314664,535552,729923,272292,554466,894630,236803,345663,91954,390844,74827,9917
95年10月,2627474,3758821,2583394,1865813,2758484,460561,1905311.0,393958,485868,559825,1314834,535485,729594,272290,554419,894363,236615,345521,91887,390875,75386,9883
95年11月,2630835,3761281,2585387,1866285,2759566,460412,1908101.0,394376,486710,559926,1314839,535372,729203,272278,554253,893903,236399,345465,91892,390848,75943,9848
95年12月,2632242,3767095,2587828,1866727,2760180,460426,1911161.0,394757,487692,559986,1315034,535205,728490,272364,553841,893544,235957,345303,91785,390633,76491,9786
96年1月,2630872,3770631,2588615,1866566,2759928,460354,1912875.0,394993,488312,559837,1314903,534997,727921,272431,553458,893124,235549,344776,91850,390631,77100,9787
96年2月,2629106,3770748,2589417,1866873,2759676,460343,1913879.0,394893,488825,559813,1315067,534927,727784,272278,553216,892522,235405,344720,91886,390495,77477,9782
96年3月,2626273,3771528,2591143,1867178,2759537,460211,1915521.0,396261,489334,559709,1314822,534724,727446,272221,552819,891915,235226,344550,91950,390412,77873,9801
96年4月,2627146,3773177,2592709,1867498,2759623,460265,1917187.0,396402,490019,559740,1314711,534530,727162,272434,552446,891587,235137,344453,92023,390455,78407,9791
96年5月,2627232,3776501,2594580,1867869,2759772,460161,1919487.0,396739,490714,559818,1314225,534186,726986,272471,552273,891058,234939,344336,92059,390380,78707,9790
96年6月,2627990,3779219,2596274,1868001,2760397,460133,1921526.0,396983,491405,559776,1313986,533903,726868,272718,551993,890753,234672,344087,92077,390299,79023,9814
96年7月,2628330,3782184,2597980,1868306,2761380,460211,1923945.0,396982,492309,559850,1314018,533899,726577,272811,551880,890573,234455,343934,92142,390229,79445,9852
96年8月,2627253,3785828,2600142,1868495,2762095,460312,1926895.0,397273,493406,559888,1313922,533782,726314,272797,551734,890227,234124,343687,92163,390185,79865,9863
96年9月,2625359,3789488,2601381,1868568,2762512,460193,1928968.0,397577,494225,559802,1313709,533494,725949,272804,551498,889806,233954,343610,92157,390188,80191,9878
96年10月,2626104,3792402,2602804,1868817,2763099,460218,1930818.0,398032,494780,559956,1313798,533731,725930,272851,551409,889793,233841,343574,92174,390310,80636,9920
96年11月,2627527,3794929,2604694,1869396,2763788,460358,1932908.0,398539,495351,560050,1314013,533709,725759,272899,551363,889698,233725,343461,92239,390339,81101,9936
96年12月,2629269,3798015,2606794,1870061,2764868,460398,1934968.0,399035,495821,560163,1314354,533717,725672,273075,551345,889563,233660,343302,92390,390397,81547,9946
97年1月,2629689,3800575,2608715,1870347,2765280,460319,1937045.0,399599,496422,560197,1314311,533607,725376,273137,551154,889319,233609,343262,92423,390216,81903,9954
97年2月,2630966,3802970,2609996,1870444,2765727,460584,1938591.0,399957,496780,560159,1314453,533501,725427,273285,550759,888905,233491,343142,92384,390084,82063,9954
97年3月,2631605,3804969,2611040,1870779,2765784,460656,1940014.0,400430,497245,560142,1314253,533320,725378,273422,550344,888504,233310,343026,92363,389915,82323,9978
97年4月,2630966,3806380,2612532,1871198,2765806,460992,1941878.0,401108,497975,559920,1313669,533170,725491,273486,549828,887914,233176,342898,92415,389730,82768,9986
97年5月,2630515,3808875,2613951,1871398,2765848,460918,1943756.0,401825,498777,559861,1313264,532883,725468,273675,549454,887275,232891,342700,92458,389600,83078,9958
97年6月,2630191,3811043,2615690,1871509,2766343,461082,1945581.0,402368,499372,559851,1313003,532762,725237,273789,549265,886786,232663,342516,92602,389443,83225,9941
97年7月,2628699,3814784,2617203,1871852,2766649,461126,1948004.0,402695,500025,559914,1312737,532615,724994,273967,549002,886514,232452,342400,92769,389213,83329,9884
97年8月,2626114,3818201,2618422,1872030,2766755,461268,1950129.0,403272,500595,559904,1312642,532422,724638,274074,548754,886193,232258,342003,92907,389134,83497,9855
97年9月,2622933,3821823,2619218,1872070,2766738,461094,1952321.0,403638,501312,559959,1312427,532074,724334,274032,548652,885640,232107,341843,92984,389087,83619,9832
97年10月,2622539,3825164,2620616,1872456,2767358,461010,1954237.0,404109,502012,560167,1312611,532034,724311,274086,548603,885443,232063,341792,93104,388976,83735,9831
97年11月,2622125,3829368,2622394,1873006,2768343,461043,1956516.0,404723,502625,560397,1312948,532059,724238,274064,548612,885316,232055,341709,93181,389035,84108,9807
97年12月,2622923,3833730,2624072,1873005,2769054,460902,1958686.0,405371,503273,560397,1312935,531753,723674,273793,548731,884838,231849,341433,93308,388979,84570,9755
98年1月,2622090,3837077,2625454,1873549,2769866,461013,1960336.0,405931,503655,560616,1313143,531810,723700,273813,548801,884852,231863,341504,93446,389067,84841,9750
98年2月,2620273,3840405,2626228,1873226,2769793,460742,1961825.0,406471,504169,560548,1312975,531733,723449,273866,548352,884484,231794,341263,93701,388787,85555,9768
98年3月,2619920,3843790,2627991,1873678,2770050,460908,1963546.0,407319,504768,560644,1312981,531630,723274,274068,548039,884067,231893,341222,93973,388764,86264,9761
98年4月,2618476,3845345,2628125,1873519,2769514,460899,1964197.0,407760,505182,560646,1312433,531514,722971,274212,547702,883662,231953,341046,94259,388697,87456,9771
98年5月,2617566,3847554,2628552,1873754,2769187,460837,1965313.0,408047,505855,560631,1312239,531244,723038,274088,547594,883384,231930,341032,94576,388693,88134,9779
98年6月,2616520,3849492,2629323,1873681,2769072,461461,1967038.0,408466,506546,560581,1312165,531307,723065,274171,547550,883075,232071,340903,94886,388703,89471,9798
98年7月,2615285,3853180,2630090,1873923,2769414,461268,1968574.0,408869,507329,560794,1312031,531177,723111,274127,547642,882921,232277,340947,95156,388684,90531,9861
98年8月,2612605,3857840,2630495,1874272,2768742,461251,1970358.0,409365,508157,560975,1311761,530941,722858,274051,547525,882601,232290,341001,95292,388624,91261,9860
98年9月,2608596,3862640,2631181,1874312,2768717,461203,1972635.0,409911,508883,561097,1311529,530755,722607,273876,547185,882511,232235,340875,95445,388476,91890,9882
98年10月,2608186,3866378,2632583,1874903,2769470,461345,1974758.0,410399,509453,561315,1311971,530769,722831,273861,547267,882575,232290,340910,95751,388542,92602,9890
98年11月,2607879,3869879,2634080,1875146,2770205,461499,1976897.0,410950,510058,561549,1312373,530891,722777,273930,547457,882796,232382,340949,95942,388496,93107,9899
98年12月,2607428,3873653,2635761,1875406,2770887,461625,1978782.0,411587,510882,561744,1312467,530824,722795,273861,547716,882640,232497,340964,96210,388321,93803,9919
99年1月,2606151,3876070,2636474,1875244,2770989,461876,1980038.0,411981,511288,561946,1312491,530875,722688,273778,547709,882339,232821,341026,96387,388136,94205,10002
99年2月,2605063,3878282,2637232,1875065,2771095,461901,1981364.0,412233,511608,561946,1312355,530705,722615,273691,547628,882191,232913,340997,96426,388017,94474,10044
