,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,桃園市
110年1月,4029774,2597635,2820943,1873755,2764291,452941,,570982,542127,1265654,490399,676219,498894,811978,215113,324074,105913,367379,451655,265852,140536,13303,2269216
110年2月,4029493,2592878,2821464,1873043,2763057,452751,,571291,541914,1264897,490001,675673,498499,811275,214983,323929,105908,367269,451757,265751,140511,13296,2269948
110年3月,4028474,2586660,2821322,1871961,2761462,452497,,571774,541460,1263635,489509,675074,498031,810449,214745,323666,105867,367178,451868,265560,140406,13336,2270689
110年4月,4027730,2581006,2820979,1871224,2760028,452355,,572422,541226,1262673,489148,674622,497641,809765,214599,323441,105905,367088,452229,265416,140325,13403,2270971
110年5月,4026019,2574704,2820114,1870343,2758494,452334,,572872,540917,1261770,488689,674152,497172,809130,214428,323252,105749,366643,452450,265234,140228,13437,2270939
110年6月,4023634,2570090,2819930,1869610,2757205,452151,,573243,540587,1261272,488337,673766,496756,808631,214274,323101,105693,366196,452619,265046,139975,13424,2271969
110年7月,4021398,2562738,2819081,1868739,2755491,451946,,573385,540312,1260388,487743,673309,496440,807970,214132,322836,105634,365891,452807,264721,139764,13449,2272459
110年8月,4019898,2553798,2818139,1867554,2753530,451635,,573858,539879,1259246,487185,672557,495662,807159,213956,322506,105645,365591,452781,264858,140004,13420,2272976
110年9月,4017632,2544720,2816393,1866073,2751317,451422,,574512,539361,1257992,486455,671686,494868,806305,213818,322260,106036,365117,452882,265002,140856,13429,2272812
110年10月,4014869,2538299,2815477,1864799,2749293,451175,,574806,538940,1257033,485983,671182,494293,805717,213718,321971,106147,364766,452844,265208,141180,13516,2272663
110年11月,4011586,2531659,2814422,1863435,2746939,450944,,575131,538568,1256062,485479,670664,493855,805177,213534,321697,106310,364350,452665,264954,141327,13577,2272452
110年12月,4008113,2524393,2813490,1862059,2744691,450692,,575580,538178,1255330,484897,670132,493316,804440,213386,321358,106340,363977,452640,264727,141539,13645,2272391
111年1月,4003812,2514425,2812308,1860379,2742032,450406,,575754,537817,1254308,484422,669354,492676,803787,213296,321063,106296,363594,452586,264544,141505,13665,2271637
111年2月,3999305,2504597,2810285,1858650,2738002,450080,,575923,537428,1252997,483980,668722,492203,803023,213172,320854,106225,363091,452055,264344,141181,13662,2269997
111年3月,3989880,2490445,2806385,1855449,2731782,449435,,575746,536585,1250631,482841,667667,491507,801914,213032,320405,106174,362239,451689,263821,140740,13711,2266913
111年4月,3975803,2478124,2801069,1852429,2726087,448963,,575682,535780,1248262,481943,666655,490824,801377,212959,319842,106216,361612,450494,263202,140510,13752,2263430
111年5月,3972841,2470599,2799312,1851483,2724134,448933,,576027,535414,1247683,481670,666425,490423,801201,212924,319351,106238,361320,450347,262983,140323,13782,2262765
111年6月,3972271,2464452,2799339,1850865,2723177,448856,,576373,535260,1247630,481166,665971,490007,800321,212804,319180,106167,361079,450464,262844,140147,13823,2264082
111年7月,3974683,2462482,2800981,1850735,2722904,448971,,577026,535221,1246924,480890,665750,489814,800138,212891,319095,106221,361082,450655,262659,140229,13889,2266824
111年8月,3976840,2461695,2802690,1850880,2722713,449050,,577674,535243,1246388,480477,665376,489509,799658,212824,319024,106376,361099,450836,262606,140294,13902,2269400
111年9月,3979218,2460932,2804081,1850687,2722716,448945,,578495,535187,1245530,480027,664963,489169,799153,212721,318858,106806,361006,450893,262501,140843,13938,2271464
111年10月,3982363,2465610,2806458,1850955,2723495,449012,,578949,535149,1245445,479889,664604,488920,798965,212712,318849,106891,361114,451203,262591,140938,13976,2273968
111年11月,3987676,2472547,2809728,1851545,2725200,448939,,579600,535159,1245318,479743,664417,488543,798860,212636,318848,107057,361262,451690,262705,141133,13989,2276998
111年12月,3995551,2480681,2814459,1852997,2728137,449062,,580503,535132,1245239,479595,664092,488158,798703,212551,318892,107223,361526,452473,262924,141295,13983,2281464
112年1月,4004367,2488043,2819798,1855092,2731635,449391,,582228,535259,1245824,479666,663981,488012,798940,212511,318995,107322,361891,452928,263188,141965,13990,2286942
112年2月,4008245,2490133,2822543,1855655,2732598,449418,,583337,535076,1244993,479406,663294,487542,798367,212331,318863,107276,362010,453120,263270,142163,13983,2289927
112年3月,4013659,2494813,2826230,1856642,2733964,449510,,584454,534910,1244148,479244,662813,487092,798016,212259,318736,107333,362177,453536,263440,142455,13989,2293509
112年4月,4017745,2498488,2828813,1857292,2734893,449624,,584832,534832,1243659,479044,662550,486774,797771,212196,318692,107397,362325,453824,263585,142717,13988,2296333
112年5月,4021983,2501988,2831323,1858092,2735456,449711,,585568,534739,1243048,478817,662109,486418,797471,212087,318511,107401,362330,454176,263639,142885,13993,2299339
112年6月,4025405,2504687,2834046,1858444,2736019,449705,,586299,534677,1242521,478462,661767,486229,797291,212008,318306,107312,362396,454603,263707,142942,13992,2302465
112年7月,4031256,2507143,2837555,1859229,2737298,449976,,587065,534968,1242512,478334,661576,486049,796936,211933,318165,107331,362539,455069,263810,143109,14005,2306565
112年8月,4034102,2506788,2839768,1859728,2737582,450095,,587580,535055,1241764,477993,661107,485681,796506,211807,318087,107363,362496,455228,263836,143290,14028,2309770
112年9月,4036911,2506251,2841225,1859842,2737261,450031,,588183,535011,1240871,477691,660545,485410,796114,211681,317881,107701,362548,455510,263750,143964,14049,2311870
112年10月,4038948,2508658,2842926,1859927,2737660,450034,,588535,534829,1240284,477558,660144,485202,795786,211613,317773,107808,362487,455860,263695,144033,14071,2314027
112年11月,4039946,2509894,2844250,1859776,2737608,449963,,588906,534677,1239614,477326,659841,484892,795417,211550,317643,107761,362354,456116,263596,144080,14071,2315727
112年12月,4041120,2511886,2845909,1859946,2737941,449890,,589289,534575,1239048,477094,659468,484560,794997,211544,317489,107739,362255,456475,263584,144149,14039,2317445
113年1月,4041869,2511291,2847264,1859800,2737530,449767,,589788,534432,1237760,476675,659564,483902,794514,211357,317252,107745,362094,456535,263369,144173,14034,2319118
